Country,Date,Confirmed,Death,New Confirmed,New Death,Nr. Crt,Growth
France,5/2/2020,168518,24763,1213,166,123,1207
France,5/3/2020,168925,24900,407,137,124,-806
France,5/4/2020,169583,25204,658,304,125,251
France,5/5/2020,170687,25537,1104,333,126,446
France,5/6/2020,174224,25812,3537,275,127,2433
France,5/7/2020,174918,25990,694,178,128,-2843
France,5/8/2020,176202,26233,1284,243,129,590
France,5/9/2020,176782,26313,580,80,130,-704
France,5/10/2020,177094,26383,312,70,131,-268
France,5/11/2020,177547,26646,453,263,132,141
France,5/12/2020,178349,26994,802,348,133,349
France,5/13/2020,178184,27077,-165,83,134,-967
France,5/14/2020,178994,27428,810,351,135,975
France,5/15/2020,179630,27532,636,104,136,-174
France,5/16/2020,179630,27532,0,0,137,-636
France,5/17/2020,179693,28111,63,579,138,63
France,5/18/2020,180051,28242,358,131,139,295
